cell2286085	cell1145178	cell823260	cell820314	cell1143546	cell2290903	cell1645813	cell1641909	cell572543	cell822466	cell1643281	cell819575	cell1639507	cell1640431	cell822783	cell1145134	cell821447	cell820544	cell1641197	cell819298	cell1146073	cell1144522	cell1144649	cell822201	cell2292528	cell822185	cell1145876	cell1145254	cell821071	cell1146655	cell823246	cell1144237	cell1144950	cell1146378	cell821973	cell1638704	cell820844	cell821730	cell1144274	cell1142854	cell2292426	cell822374	cell1144693	cell1640132	cell821314	cell2286989	cell1144946	cell822034	cell1143643	cell1639569	cell821501	cell819642	cell1236816	cell820475	cell1145522	cell821342	cell823101	cell1638712	cell1144226	cell822542	cell822029	cell1643111	cell1639352	cell1145992	cell572654	cell1146700	cell1146321	cell1143849	cell1642373	cell820540	cell1144132	cell1143761	cell822984	cell822944	cell1143495	cell1143284	cell1640877	cell2287006	cell1143336	cell1639560	cell1642311	cell2286999	cell1638428	cell1143298	cell2286779	cell1143450	cell1146114	cell1643828	cell821493	cell820395	cell1641861	cell1145645	cell1146070	cell1638885	cell1146275	cell1643514	cell821434	cell1146539	cell822713	cell821673	cell1144109	cell822306	cell821966	cell1642225	cell819647	cell1641247	cell820353	cell821055	cell1639600	cell1146397	cell1142956	cell1144350	cell820604	cell1642304	cell821412	cell1144113	cell1641540	cell1639396	cell1143553	cell1145415	cell821884	cell822041	cell2286543	cell822459	cell1143548	cell1639464	cell1145882	cell821408	cell1145337	cell1641522	cell821827	cell1143224	cell1639538	cell1143234	cell1146103	cell820996	cell1142788	cell820829	cell1143010	cell1639014	cell1145183	cell1641660	cell1146177	cell823079	cell1639777	cell1145427	cell1144487	cell820776	cell823187	cell1639423	cell1146779	cell822904	cell1142903	cell822899	cell1145745	cell1146480	cell1146732	cell2286133	cell1145995	cell1640427	cell2285956	cell822539	cell1145971	cell1144664	cell822736	cell1146263	cell819986	cell2292315	cell1639734	cell925272	cell1144933	cell1143746	cell1145642	cell1144375	cell1144844	cell822424	cell1144913	cell1594659	cell820605	cell2292564	cell1639758	cell821300	cell2287344	cell1144498	cell822989	cell1145743	cell1641787	cell1641360	cell822147	cell1145213	cell1641757	cell1639774	cell1643704	cell1145888	cell819278	cell1145821	cell1638919	cell1145879	cell822964	cell821498	cell687023	cell2292298	cell821065	cell819598	cell1145191	cell1144336	cell1639429	cell822719	cell1142923	cell1144310	cell821927	cell1144278	cell1146458	cell1144860	cell822423	cell2286528	cell1145264	cell1643738	cell2292490	cell1146471	cell1644681	cell822048	cell1640840	cell2286162	cell1643378	cell1645029	cell822751	cell1146645	cell1639599	cell1142933	cell819494	cell1144826	cell821328	cell821296	cell1143228	cell819268	cell819690	cell1144427	cell1145723	cell2286048	cell822023	cell819549	cell821906	cell1639400	cell1145218	cell820277	cell1146805	cell1144454	cell1146000	cell1641827	cell822373	cell1145540	cell1145194	cell753119	cell2286027	cell822271
N1604_10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N2233_6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N801_4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
N1601_3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N200_6	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1
N2232_5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N4_2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0
N3_5	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1
N1118_10	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
N559_4	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0
N1603_10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
N558_2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
N2232_10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
N12_2	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1
N1119_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
N69_9	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0
N17_2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0
N3_11	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	1
N1119_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
N1602_2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
N1119_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
N558_3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
D279	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0
N2238_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
